Source,Target,Weight
Las Delicias,Castillo de Azanaque,503
Las Delicias,Alcolea del Río,503
Las Delicias,Malpica,503
Las Delicias,Guadajoz,503
Las Delicias,Azanaque-Catsillejo,503
Las Delicias,Cortijo del Romero,503
Las Delicias,Las Valbuenas,503
Las Delicias,Las Ánimas,503
Las Delicias,El Sotillo,503
Las Delicias,La Umbría de Moratalla,503
Las Delicias,La Mallena,503
El Pinzón,Castillo de Almodóvar,503
El Pinzón,Cortijo de Paladés (Este) (Cortijo de Sotomayor),503
El Pinzón,Arva,503
El Pinzón,Lora la Vieja,503
El Pinzón,Barranco del Picacho,503
El Pinzón,Álamo Alto,503
El Pinzón,El Tesoro,503
El Pinzón,La Ramblilla,503
El Pinzón,La Reina,503
El Pinzón,La Botica,503
El Pinzón,Doña Mencía,503
El Pinzón,Huerta de Belén,503
El Pinzón,Dehesa de Arriba,503
El Pinzón,Madueño,503
El Pinzón,Cerro de los Pesebres,503
El Pinzón,El Tejarillo,503
El Pinzón,El Mohino,503
El Pinzón,Madre Vieja II,503
El Pinzón,Dehesilla,503
El Pinzón,Cerro de los Vuelos,503
El Pinzón,La Graja,503
El Pinzón,La Catria Alta,503
El Pinzón,Azanaque-Castillejo,503
El Pinzón,Tarancón,503
El Pinzón,Alcotrista,503
El Pinzón,Cortijo de San José (Norte),503
El Pinzón,Malpica Sur,503
El Pinzón,Casablanca Oeste,503
El Pinzón,Adelfa,503
El Pinzón,El Marchante,503
El Pinzón,La María,503
El Pinzón,Villacisneros,503
El Pinzón,Peñaflor,503
El Pinzón,Los Guerras,503
El Pinzón,La Corregidora,503
El Pinzón,Mejía,503
El Pinzón,La Estrella,503
El Pinzón,Casa del Encinarejo Bajo,503
El Pinzón,Berro II,503
El Pinzón,Los Mochales,503
El Pinzón,La Catria,503
El Pinzón,huerta del río,503
El Pinzón,La Rambla y El Acebuchal,503
El Pinzón,Cortijo Nuevo,503
El Pinzón,Manuel Nieto,503
El Pinzón,El Judío,503
El Pinzón,Alcala del Río,503
El Pinzón,Villar de Brenes,503
El Pinzón,Villaseca,503
El Pinzón,El Temple,503
El Pinzón,Casa de Mingaobez (Este),503
El Pinzón,Itálica,503
El Pinzón,El Rodriguillo,503
El Pinzón,Haza del Olivo,503
El Pinzón,La Coscoja,503
El Pinzón,Las Sesenta,503
El Pinzón,Casa de Mingaobez,503
El Pinzón,Tostoneras,503
El Pinzón,Isla del Castillo,503
El Pinzón,La Estacada,503
El Pinzón,Cruz Verde,503
El Pinzón,El Portillo,503
El Pinzón,Las Monjas,503
El Pinzón,Tierras del Judío,503
El Pinzón,Sevilla,503
El Pinzón,Isla de la Jurada,503
El Pinzón,Villar Tesoro,503
El Pinzón,Cerro de Arriza,503
El Pinzón,Guadiato,503
El Pinzón,Los Villares,503
El Pinzón,Castillo de Azanaque,503
El Pinzón,Alcolea del Río,503
El Pinzón,Malpica,503
El Pinzón,Guadajoz,503
El Pinzón,Azanaque-Catsillejo,503
El Pinzón,Cortijo del Romero,503
El Pinzón,Las Valbuenas,503
El Pinzón,Las Ánimas,503
El Pinzón,El Sotillo,503
El Pinzón,La Umbría de Moratalla,503
El Pinzón,Juan Barba,503
El Pinzón,La Mallena,503
Castillo de Almodóvar,Cortijo de Paladés (Este) (Cortijo de Sotomayor),503
Castillo de Almodóvar,Arva,503
Castillo de Almodóvar,Lora la Vieja,503
Castillo de Almodóvar,Barranco del Picacho,503
Castillo de Almodóvar,Álamo Alto,503
Castillo de Almodóvar,El Tesoro,503
Castillo de Almodóvar,La Ramblilla,503
Castillo de Almodóvar,La Reina,503
Castillo de Almodóvar,La Botica,503
Castillo de Almodóvar,Doña Mencía,503
Castillo de Almodóvar,Huerta de Belén,503
Castillo de Almodóvar,Dehesa de Arriba,503
Castillo de Almodóvar,Madueño,503
Castillo de Almodóvar,Cerro de los Pesebres,503
Castillo de Almodóvar,El Tejarillo,503
Castillo de Almodóvar,El Mohino,503
Castillo de Almodóvar,Madre Vieja II,503
Castillo de Almodóvar,Dehesilla,503
Castillo de Almodóvar,Cerro de los Vuelos,503
Castillo de Almodóvar,La Graja,503
Castillo de Almodóvar,La Catria Alta,503
Castillo de Almodóvar,Azanaque-Castillejo,503
Castillo de Almodóvar,Tarancón,503
Castillo de Almodóvar,Alcotrista,503
Castillo de Almodóvar,Cortijo de San José (Norte),503
Castillo de Almodóvar,Malpica Sur,503
Castillo de Almodóvar,Casablanca Oeste,503
Castillo de Almodóvar,Adelfa,503
Castillo de Almodóvar,El Marchante,503
Castillo de Almodóvar,La María,503
Castillo de Almodóvar,Villacisneros,503
Castillo de Almodóvar,Peñaflor,503
Castillo de Almodóvar,Los Guerras,503
Castillo de Almodóvar,La Corregidora,503
Castillo de Almodóvar,Mejía,503
Castillo de Almodóvar,La Estrella,503
Castillo de Almodóvar,Casa del Encinarejo Bajo,503
Castillo de Almodóvar,Berro II,503
Castillo de Almodóvar,Los Mochales,503
Castillo de Almodóvar,La Catria,503
Castillo de Almodóvar,huerta del río,503
Castillo de Almodóvar,La Rambla y El Acebuchal,503
Castillo de Almodóvar,Cortijo Nuevo,503
Castillo de Almodóvar,Manuel Nieto,503
Castillo de Almodóvar,El Judío,503
Castillo de Almodóvar,Alcala del Río,503
Castillo de Almodóvar,Villar de Brenes,503
Castillo de Almodóvar,Villaseca,503
Castillo de Almodóvar,El Temple,503
Castillo de Almodóvar,Casa de Mingaobez (Este),503
Castillo de Almodóvar,Itálica,503
Castillo de Almodóvar,El Rodriguillo,503
Castillo de Almodóvar,Haza del Olivo,503
Castillo de Almodóvar,La Coscoja,503
Castillo de Almodóvar,Las Sesenta,503
Castillo de Almodóvar,Casa de Mingaobez,503
Castillo de Almodóvar,Tostoneras,503
Castillo de Almodóvar,Isla del Castillo,503
Castillo de Almodóvar,La Estacada,503
Castillo de Almodóvar,Cruz Verde,503
Castillo de Almodóvar,El Portillo,503
Castillo de Almodóvar,Las Monjas,503
Castillo de Almodóvar,Tierras del Judío,503
Castillo de Almodóvar,Sevilla,503
Castillo de Almodóvar,Isla de la Jurada,503
Castillo de Almodóvar,Villar Tesoro,503
Castillo de Almodóvar,Cerro de Arriza,503
Castillo de Almodóvar,Guadiato,503
Castillo de Almodóvar,Los Villares,503
Castillo de Almodóvar,Castillo de Azanaque,503
Castillo de Almodóvar,Alcolea del Río,503
Castillo de Almodóvar,Malpica,503
Castillo de Almodóvar,Guadajoz,503
Castillo de Almodóvar,Azanaque-Catsillejo,503
Castillo de Almodóvar,Cortijo del Romero,503
Castillo de Almodóvar,Las Valbuenas,503
Castillo de Almodóvar,Las Ánimas,503
Castillo de Almodóvar,El Sotillo,503
Castillo de Almodóvar,La Umbría de Moratalla,503
Castillo de Almodóvar,Juan Barba,503
Castillo de Almodóvar,La Mallena,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Rambla y El Acebuchal,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Arva,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Lora la Vieja,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Barranco del Picacho,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Álamo Alto,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Tesoro,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Ramblilla,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Reina,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Botica,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Doña Mencía,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Huerta de Belén,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Dehesa de Arriba,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Madueño,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cerro de los Pesebres,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Tejarillo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Mohino,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Madre Vieja II,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Dehesilla,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cerro de los Vuelos,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Graja,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Catria Alta,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Azanaque-Castillejo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Tarancón,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Alcotrista,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cortijo de San José (Norte),503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Malpica Sur,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Casablanca Oeste,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Adelfa,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Marchante,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La María,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Villacisneros,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Peñaflor,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Los Guerras,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Corregidora,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Mejía,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Estrella,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Casa del Encinarejo Bajo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Berro II,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Los Mochales,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Catria,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),huerta del río,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Alcala del Río,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cortijo Nuevo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Manuel Nieto,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Judío,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Villar de Brenes,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Villaseca,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Temple,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Casa de Mingaobez (Este),503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Itálica,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Rodriguillo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Haza del Olivo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Coscoja,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Las Sesenta,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Casa de Mingaobez,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Tostoneras,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Isla del Castillo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Estacada,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cruz Verde,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Portillo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Las Monjas,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Tierras del Judío,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Sevilla,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Isla de la Jurada,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Villar Tesoro,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cerro de Arriza,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Guadiato,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Los Villares,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Castillo de Azanaque,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Alcolea del Río,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Malpica,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Guadajoz,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Azanaque-Catsillejo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Cortijo del Romero,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Las Valbuenas,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Las Ánimas,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),El Sotillo,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Umbría de Moratalla,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),Juan Barba,503
Cortijo de Paladés (Este) (Cortijo de Sotomayor),La Mallena,503
Arva,Lora la Vieja,503
