"","fp","pp","w"
"706","Charente-Maritime","El Tejarillo","1"
"707","Charente-Maritime","Tostoneras","1"
"708","Charente-Maritime","Alcotrista","1"
"709","Charente-Maritime","Isla del Castillo","1"
"710","Charente-Maritime","Las Ánimas","1"
"711","Housesteads","Alcolea del Río","2"
"712","Housesteads","Las Delicias","2"
"713","Housesteads","Azanaque-Castillejo","1"
"714","Housesteads","Sevilla","1"
"715","Housesteads","huerta del río","1"
"716","Murviel-lès-Montpellier","La Catria","1"
"717","Murviel-lès-Montpellier","Arva","1"
"718","Murviel-lès-Montpellier","Sevilla","1"
"719","Murviel-lès-Montpellier","huerta del río","1"
"720","Murviel-lès-Montpellier","El Temple","1"
"721","Murviel-lès-Montpellier","Álamo Alto","1"
"722","Murviel-lès-Montpellier","La Rambla y El Acebuchal","1"
"723","Nyon","Barranco del Picacho","1"
"724","Nyon","Dehesilla","1"
"725","Nyon","La Estrella","1"
"726","Nyon","Las Sesenta","1"
"727","Nyon","Villaseca","1"
"728","Nyon","Casa de Mingaobez","1"
"729","Nyon","Berro II","1"
"730","Ribchester","La Catria","3"
"731","Ribchester","Malpica","2"
"732","Ribchester","Casa de Mingaobez","2"
"733","Rodez","Arva","1"
"734","Rodez","Malpica","3"
"735","Rodez","Peñaflor","1"
"736","Rodez","Alcotrista","1"
"737","Rodez","Alcala del Río","1"
"738","Seville","Arva","2"
"739","Seville","Alcolea del Río","1"
"740","Seville","Las Delicias","1"
"741","Seville","Itálica","1"
"742","Seville","Las Monjas","1"
"743","Seville","Cerro de los Vuelos","1"
"744","Tours","Arva","1"
"745","Tours","Sevilla","1"
"746","Tours","huerta del río","2"
"747","Tours","Huerta de Belén","1"
"748","Tours","Los Guerras","1"
"749","Tours","Casa de Mingaobez","1"
"750","Tróia","La Catria","1"
"751","Tróia","Arva","1"
"752","Tróia","Alcolea del Río","1"
"753","Tróia","El Tejarillo","1"
"754","Tróia","Tostoneras","1"
"755","Tróia","Itálica","1"
"756","Tróia","El Judío","1"
"757","Alzey","La Catria","2"
"758","Alzey","Las Delicias","2"
"759","Alzey","Malpica","1"
"760","Alzey","Los Guerras","1"
"761","Alzey","Tierras del Judío","1"
"762","Alzey","La Estacada","1"
"763","Bar Hill","La Catria","1"
"764","Bar Hill","Alcolea del Río","1"
"765","Bar Hill","El Tejarillo","1"
"766","Bar Hill","Villar de Brenes","1"
"767","Bar Hill","Itálica","1"
"768","Bar Hill","Guadajoz","1"
"769","Bar Hill","Juan Barba","1"
"770","Bar Hill","Adelfa","1"
"771","Caerwent","La Catria","1"
"772","Caerwent","Arva","1"
"773","Caerwent","Alcolea del Río","2"
"774","Caerwent","Villar de Brenes","1"
"775","Caerwent","Alcotrista","1"
"776","Caerwent","Haza del Olivo","1"
"777","Caerwent","El Marchante","1"
"778","Mandeure","La Catria","2"
"779","Mandeure","Arva","1"
"780","Mandeure","Las Delicias","1"
"781","Mandeure","Villar de Brenes","1"
"782","Mandeure","huerta del río","1"
"783","Mandeure","Castillo de Azanaque","1"
"784","Mandeure","El Marchante","1"
"785","Regensburg","La Catria","3"
"786","Regensburg","Malpica","3"
"787","Regensburg","huerta del río","1"
"788","Regensburg","La Mallena","1"
"789","Sidi Ali ben ahmed (Thamusida)","La Catria","3"
"790","Sidi Ali ben ahmed (Thamusida)","Peñaflor","1"
"791","Sidi Ali ben ahmed (Thamusida)","Villar de Brenes","1"
"792","Sidi Ali ben ahmed (Thamusida)","Sevilla","1"
"793","Sidi Ali ben ahmed (Thamusida)","Alcotrista","1"
"794","Sidi Ali ben ahmed (Thamusida)","Madueño","1"
"795","Budapest","La Catria","1"
"796","Budapest","Arva","2"
"797","Budapest","Alcolea del Río","1"
"798","Budapest","Las Delicias","1"
"799","Budapest","Barranco del Picacho","1"
"800","Budapest","Dehesilla","1"
"801","Budapest","La Estrella","1"
"802","Budapest","La María","1"
"803","Cahors","La Catria","2"
"804","Cahors","Arva","2"
"805","Cahors","Sevilla","1"
"806","Cahors","Guadajoz","1"
"807","Cahors","Las Sesenta","1"
"808","Cahors","Juan Barba","1"
"809","Cahors","Adelfa","1"
"810","Château Rousillon","La Catria","1"
"811","Château Rousillon","Arva","1"
"812","Château Rousillon","Malpica","1"
"813","Château Rousillon","Peñaflor","1"
"814","Château Rousillon","Sevilla","4"
"815","Château Rousillon","Lora la Vieja","1"
"816","Isla de Cabrera","Arva","4"
"817","Isla de Cabrera","Alcolea del Río","1"
"818","Isla de Cabrera","El Tejarillo","2"
"819","Isla de Cabrera","Tostoneras","1"
"820","Isla de Cabrera","Itálica","1"
"821","Koenigshoffen","La Catria","2"
"822","Koenigshoffen","Arva","1"
"823","Koenigshoffen","Alcolea del Río","1"
"824","Koenigshoffen","El Tejarillo","1"
"825","Koenigshoffen","Tostoneras","1"
"826","Koenigshoffen","Azanaque-Castillejo","1"
"827","Koenigshoffen","El Sotillo","1"
"828","Koenigshoffen","Casa del Guarda o Llano","1"
"829","Stockstadt am Main","La Catria","2"
"830","Stockstadt am Main","Alcolea del Río","1"
"831","Stockstadt am Main","Malpica","2"
"832","Stockstadt am Main","huerta del río","1"
"833","Stockstadt am Main","Guadajoz","1"
"834","Stockstadt am Main","Villar Tesoro","1"
"835","Stockstadt am Main","El Judío","1"
"836","Titelberg","Arva","1"
"837","Titelberg","Alcolea del Río","2"
"838","Titelberg","El Tejarillo","1"
"839","Titelberg","Tostoneras","1"
"840","Titelberg","Malpica","1"
"841","Titelberg","Itálica","1"
"842","Titelberg","Guadajoz","1"
"843","Titelberg","El Marchante","1"
"844","Chicester","La Catria","1"
"845","Chicester","Alcolea del Río","2"
"846","Chicester","Las Delicias","1"
"847","Chicester","Malpica","2"
"848","Chicester","Peñaflor","1"
"849","Chicester","Sevilla","3"
"850","Falkirk","La Catria","3"
"851","Falkirk","Arva","1"
"852","Falkirk","Alcolea del Río","3"
"853","Falkirk","Peñaflor","1"
"854","Falkirk","huerta del río","1"
"855","Falkirk","Huerta de Belén","1"
"856","Ilkley","La Catria","2"
"857","Ilkley","Arva","1"
"858","Ilkley","Alcolea del Río","1"
"859","Ilkley","Las Delicias","2"
"860","Ilkley","Cerro de los Pesebres","1"
"861","Ilkley","Huerta de Belén","1"
"862","Ilkley","Las Sesenta","1"
"863","Ilkley","Madueño","1"
"864","Lattes","La Catria","3"
"865","Lattes","Arva","1"
"866","Lattes","Las Delicias","1"
"867","Lattes","Peñaflor","2"
"868","Lattes","Alcotrista","1"
"869","Lattes","Las Sesenta","1"
"870","Lattes","El Pinzón","1"
"871","Newstead","La Catria","2"
"872","Newstead","Alcolea del Río","4"
"873","Newstead","El Tejarillo","1"
"874","Newstead","Peñaflor","1"
"875","Newstead","La Corregidora","1"
"876","Newstead","El Temple","1"
"877","Peñaflor","La Catria","2"
"878","Peñaflor","Peñaflor","6"
"879","Peñaflor","La Botica","1"
"880","Peñaflor","La Coscoja","1"
"881","Saint-Marcel","La Catria","1"
"882","Saint-Marcel","Arva","1"
"883","Saint-Marcel","Alcolea del Río","2"
"884","Saint-Marcel","Malpica","1"
"885","Saint-Marcel","Itálica","1"
"886","Saint-Marcel","El Marchante","2"
"887","Saint-Marcel","Lora la Vieja","1"
"888","Saint-Marcel","Casa del Guarda o Llano","1"
"889","Saint-Romain-de-Jalionas","La Catria","2"
"890","Saint-Romain-de-Jalionas","Alcolea del Río","1"
"891","Saint-Romain-de-Jalionas","Alcotrista","1"
"892","Saint-Romain-de-Jalionas","Las Sesenta","3"
"893","Saint-Romain-de-Jalionas","Isla del Castillo","1"
"894","Saint-Romain-de-Jalionas","Las Ánimas","1"
"895","Saint-Romain-de-Jalionas","La Ramblilla","1"
"896","Southwark","La Catria","2"
"897","Southwark","Cerro de los Pesebres","1"
"898","Southwark","Azanaque-Castillejo","1"
"899","Southwark","Peñaflor","1"
"900","Southwark","Sevilla","1"
"901","Southwark","Malpica Sur","1"
"902","Southwark","El Temple","1"
"903","Southwark","Dehesa de Arriba","1"
"904","Southwark","Madre Vieja II","1"
"905","Warrington","La Catria","1"
"906","Warrington","Arva","1"
"907","Warrington","Cerro de los Pesebres","1"
"908","Warrington","Peñaflor","1"
"909","Warrington","La Corregidora","1"
"910","Warrington","Villar Tesoro","1"
"911","Warrington","Tarancón","1"
"912","Warrington","Las Valbuenas","1"
"913","Warrington","El Marchante","1"
"914","Warrington","Madueño","1"
"915","Angers","La Catria","1"
"916","Angers","Arva","4"
"917","Angers","Alcolea del Río","1"
"918","Angers","El Tejarillo","2"
"919","Angers","Las Delicias","1"
"920","Angers","Tostoneras","1"
"921","Angers","Itálica","1"
"922","Bad Wimpfen","La Catria","1"
"923","Bad Wimpfen","Cerro de los Pesebres","1"
"924","Bad Wimpfen","Malpica","1"
"925","Bad Wimpfen","Villacisneros","1"
"926","Bad Wimpfen","Itálica","1"
"927","Bad Wimpfen","Isla del Castillo","2"
"928","Bad Wimpfen","Las Ánimas","2"
"929","Bad Wimpfen","El Judío","1"
"930","Bad Wimpfen","Villaseca","1"
"931","Chesters","La Catria","1"
"932","Chesters","Arva","3"
"933","Chesters","Alcolea del Río","1"
"934","Chesters","El Tejarillo","1"
"935","Chesters","Las Delicias","2"
"936","Chesters","Tostoneras","1"
"937","Chesters","Itálica","1"
"938","Chesters","Las Sesenta","1"
"939","Hedelbergen","La Catria","3"
"940","Hedelbergen","Arva","2"
"941","Hedelbergen","El Tejarillo","1"
"942","Hedelbergen","Malpica","2"
"943","Hedelbergen","Sevilla","1"
"944","Hedelbergen","El Marchante","1"
"945","Hedelbergen","La Mallena","1"
"946","Neuss","La Catria","4"
"947","Neuss","Arva","1"
"948","Neuss","Las Delicias","1"
"949","Neuss","Peñaflor","2"
"950","Neuss","huerta del río","1"
"951","Neuss","Itálica","1"
"952","Neuss","El Marchante","1"
"953","Newcastle upon Tyne","Arva","3"
"954","Newcastle upon Tyne","Las Delicias","4"
"955","Newcastle upon Tyne","Malpica","1"
"956","Newcastle upon Tyne","Peñaflor","1"
"957","Newcastle upon Tyne","Huerta de Belén","1"
"958","Newcastle upon Tyne","Castillo de Azanaque","1"
"959","Poitiers","La Catria","2"
"960","Poitiers","Arva","2"
"961","Poitiers","Alcolea del Río","2"
"962","Poitiers","Sevilla","1"
"963","Poitiers","Huerta de Belén","1"
"964","Poitiers","Castillo de Azanaque","1"
"965","Poitiers","La María","1"
"966","Poitiers","Berro II","1"
"967","Bregenz","La Catria","3"
"968","Bregenz","Arva","1"
"969","Bregenz","Alcolea del Río","1"
"970","Bregenz","Peñaflor","1"
"971","Bregenz","Villar de Brenes","1"
"972","Bregenz","huerta del río","1"
"973","Bregenz","Guadajoz","1"
"974","Bregenz","El Judío","1"
"975","Bregenz","Lora la Vieja","1"
"976","Bregenz","El Mohino","1"
"977","Dieburg","La Catria","5"
"978","Dieburg","Arva","1"
"979","Dieburg","Alcolea del Río","1"
"980","Dieburg","El Tejarillo","1"
"981","Dieburg","Las Delicias","1"
"982","Dieburg","huerta del río","1"
"983","Dieburg","Isla del Castillo","1"
"984","Dieburg","Las Ánimas","1"
"985","Köngen","La Catria","2"
"986","Köngen","Alcolea del Río","2"
"987","Köngen","Malpica","1"
"988","Köngen","Azanaque-Castillejo","1"
"989","Köngen","Sevilla","1"
"990","Köngen","Castillo de Azanaque","2"
"991","Köngen","Las Valbuenas","1"
"992","Köngen","La Catria Alta","2"
"993","Saint-Ulrich","Arva","1"
"994","Saint-Ulrich","Alcolea del Río","2"
"995","Saint-Ulrich","El Tejarillo","1"
"996","Saint-Ulrich","Las Delicias","1"
"997","Saint-Ulrich","Tostoneras","1"
"998","Saint-Ulrich","Malpica","1"
"999","Saint-Ulrich","Azanaque-Castillejo","1"
"1000","Saint-Ulrich","Villar Tesoro","1"
"1001","Saint-Ulrich","Mejía","1"
"1002","Saint-Ulrich","Juan Barba","1"
"1003","Saint-Ulrich","La Umbría de Moratalla","1"
"1004","Sainte-Colombe","Alcolea del Río","6"
"1005","Sainte-Colombe","La Corregidora","1"
"1006","Sainte-Colombe","Sevilla","2"
"1007","Sainte-Colombe","Itálica","1"
"1008","Sainte-Colombe","Casa de Mingaobez","2"
"1009","Arras","La Catria","3"
"1010","Arras","Alcolea del Río","1"
"1011","Arras","Cerro de los Pesebres","1"
"1012","Arras","Peñaflor","1"
"1013","Arras","huerta del río","1"
"1014","Arras","Alcotrista","1"
"1015","Arras","Malpica Sur","1"
"1016","Arras","Isla del Castillo","1"
"1017","Arras","Las Ánimas","1"
"1018","Arras","El Judío","1"
"1019","Arras","Madre Vieja II","1"
"1020","Cap de Creus","La Catria","1"
"1021","Cap de Creus","Arva","1"
"1022","Cap de Creus","El Tejarillo","1"
"1023","Cap de Creus","Malpica","1"
"1024","Cap de Creus","Guadajoz","2"
"1025","Cap de Creus","El Temple","2"
"1026","Cap de Creus","Juan Barba","2"
"1027","Cap de Creus","Adelfa","2"
"1028","Cap de Creus","Azanaque-Catsillejo","1"
"1029","Split","Huerta de Belén","4"
"1030","Split","Haza del Olivo","1"
"1031","Split","La María","2"
"1032","Split","La Estacada","6"
"1033","Bishopbriggs","La Catria","3"
"1034","Bishopbriggs","Alcolea del Río","5"
"1035","Bishopbriggs","El Tejarillo","3"
"1036","Bishopbriggs","Azanaque-Castillejo","1"
"1037","Bishopbriggs","Villar de Brenes","2"
"1038","Exeter","La Catria","5"
"1039","Exeter","Arva","1"
"1040","Exeter","Alcolea del Río","1"
"1041","Exeter","Cerro de los Pesebres","1"
"1042","Exeter","Peñaflor","1"
"1043","Exeter","Sevilla","2"
"1044","Exeter","Villar Tesoro","1"
"1045","Exeter","Mejía","1"
"1046","Exeter","Los Guerras","1"
"1047","Großkrotzenburg","La Catria","1"
"1048","Großkrotzenburg","Arva","3"
"1049","Großkrotzenburg","Alcolea del Río","4"
"1050","Großkrotzenburg","El Tejarillo","3"
"1051","Großkrotzenburg","Tostoneras","3"
"1052","Mainz-Kastel","La Catria","1"
"1053","Mainz-Kastel","Arva","1"
"1054","Mainz-Kastel","Alcolea del Río","1"
"1055","Mainz-Kastel","El Tejarillo","1"
"1056","Mainz-Kastel","Las Delicias","2"
"1057","Mainz-Kastel","Tostoneras","1"
"1058","Mainz-Kastel","Malpica","1"
"1059","Mainz-Kastel","Peñaflor","1"
"1060","Mainz-Kastel","huerta del río","1"
"1061","Mainz-Kastel","Itálica","1"
"1062","Mainz-Kastel","Guadajoz","1"
"1063","Mainz-Kastel","Alcotrista","1"
"1064","Mainz-Kastel","Las Valbuenas","1"
"1065","Toulouse","La Catria","6"
"1066","Toulouse","Arva","3"
"1067","Toulouse","Azanaque-Castillejo","1"
"1068","Toulouse","Peñaflor","1"
"1069","Toulouse","Sevilla","2"
"1070","Toulouse","Casa del Encinarejo Bajo","1"
"1071","Toulouse","Tierras del Judío","1"
"1072","Brenes","Villar de Brenes","14"
"1073","Brenes","La Mallena","2"
"1074","Leicester","La Catria","2"
"1075","Leicester","Alcolea del Río","1"
"1076","Leicester","El Tejarillo","1"
"1077","Leicester","Malpica","1"
"1078","Leicester","huerta del río","2"
"1079","Leicester","Alcotrista","1"
"1080","Leicester","Isla del Castillo","1"
"1081","Leicester","Las Ánimas","1"
"1082","Leicester","El Temple","1"
"1083","Leicester","Haza del Olivo","2"
"1084","Leicester","La María","1"
"1085","Leicester","La Graja","1"
"1086","Leicester","El Marchante","1"
"1087","Bad Cannstatt","La Catria","2"
"1088","Bad Cannstatt","Alcolea del Río","3"
"1089","Bad Cannstatt","El Tejarillo","3"
"1090","Bad Cannstatt","Cerro de los Pesebres","1"
"1091","Bad Cannstatt","Villar de Brenes","1"
"1092","Bad Cannstatt","huerta del río","1"
"1093","Bad Cannstatt","Dehesilla","1"
"1094","Bad Cannstatt","Alcotrista","1"
"1095","Bad Cannstatt","Isla del Castillo","1"
"1096","Bad Cannstatt","Las Ánimas","1"
"1097","Bad Cannstatt","La María","1"
"1098","Bad Cannstatt","Madueño","1"
"1099","Biesheim","La Catria","2"
"1100","Biesheim","Arva","2"
"1101","Biesheim","Alcolea del Río","2"
"1102","Biesheim","El Tejarillo","1"
"1103","Biesheim","Las Delicias","1"
"1104","Biesheim","Tostoneras","1"
"1105","Biesheim","Cerro de los Pesebres","1"
"1106","Biesheim","Villar de Brenes","1"
"1107","Biesheim","Las Sesenta","1"
"1108","Biesheim","Malpica Sur","1"
"1109","Biesheim","El Temple","2"
"1110","Biesheim","La Graja","1"
"1111","Biesheim","La Ramblilla","1"
"1112","Hofheim","La Catria","4"
"1113","Hofheim","Alcolea del Río","2"
"1114","Hofheim","Malpica","2"
"1115","Hofheim","Azanaque-Castillejo","2"
"1116","Hofheim","Peñaflor","3"
"1117","Hofheim","Sevilla","1"
"1118","Hofheim","Huerta de Belén","1"
"1119","Hofheim","Casa del Encinarejo Bajo","1"
"1120","Hofheim","La Catria Alta","1"
"1121","Metz","La Catria","2"
"1122","Metz","Arva","2"
"1123","Metz","Alcolea del Río","2"
"1124","Metz","Las Delicias","1"
"1125","Metz","Malpica","2"
"1126","Metz","Villacisneros","1"
"1127","Metz","huerta del río","4"
"1128","Metz","Villar Tesoro","2"
"1129","Metz","Mejía","1"
"1130","Alise-Sainte-Reine","La Catria","3"
"1131","Alise-Sainte-Reine","Arva","2"
"1132","Alise-Sainte-Reine","Alcolea del Río","3"
"1133","Alise-Sainte-Reine","Azanaque-Castillejo","1"
"1134","Alise-Sainte-Reine","Sevilla","2"
"1135","Alise-Sainte-Reine","Itálica","1"
"1136","Alise-Sainte-Reine","Huerta de Belén","1"
"1137","Alise-Sainte-Reine","Malpica Sur","2"
"1138","Alise-Sainte-Reine","El Temple","1"
"1139","Alise-Sainte-Reine","El Marchante","1"
"1140","Alise-Sainte-Reine","Madueño","1"
"1141","Alise-Sainte-Reine","Lora la Vieja","1"
"1142","Ehl","La Catria","2"
"1143","Ehl","Arva","5"
"1144","Ehl","Alcolea del Río","3"
"1145","Ehl","Las Delicias","1"
"1146","Ehl","Azanaque-Castillejo","1"
"1147","Ehl","Sevilla","1"
"1148","Ehl","Huerta de Belén","1"
"1149","Ehl","Malpica Sur","1"
"1150","Ehl","Lora la Vieja","1"
"1151","Ehl","Manuel Nieto","1"
"1152","Ehl","La Estacada","1"
"1153","Ehl","Cortijo Nuevo","1"
"1154","Trier","Arva","1"
"1155","Trier","Alcolea del Río","4"
"1156","Trier","El Tejarillo","2"
"1157","Trier","Las Delicias","2"
"1158","Trier","Malpica","2"
"1159","Trier","Peñaflor","2"
"1160","Trier","Villar de Brenes","1"
"1161","Trier","Sevilla","1"
"1162","Trier","huerta del río","3"
"1163","Trier","Alcotrista","1"
"1164","Lincoln","La Catria","3"
"1165","Lincoln","Arva","3"
"1166","Lincoln","Alcolea del Río","2"
"1167","Lincoln","El Tejarillo","1"
"1168","Lincoln","Las Delicias","2"
"1169","Lincoln","Tostoneras","1"
"1170","Lincoln","Peñaflor","1"
"1171","Lincoln","Sevilla","1"
"1172","Lincoln","Itálica","1"
"1173","Lincoln","Huerta de Belén","1"
"1174","Lincoln","Alcotrista","1"
"1175","Lincoln","Villar Tesoro","1"
"1176","Lincoln","Malpica Sur","1"
"1177","Lincoln","Mejía","1"
"1178","Wiesbaden","Arva","2"
"1179","Wiesbaden","Alcolea del Río","1"
"1180","Wiesbaden","El Tejarillo","1"
"1181","Wiesbaden","Tostoneras","1"
"1182","Wiesbaden","Malpica","1"
"1183","Wiesbaden","Sevilla","2"
"1184","Wiesbaden","Itálica","3"
"1185","Wiesbaden","Huerta de Belén","1"
"1186","Wiesbaden","Isla del Castillo","1"
"1187","Wiesbaden","Las Ánimas","1"
"1188","Wiesbaden","El Rodriguillo","1"
"1189","Wiesbaden","El Judío","1"
"1190","Wiesbaden","Villaseca","1"
"1191","Wiesbaden","Álamo Alto","1"
"1192","Wiesbaden","El Marchante","1"
"1193","Wiesbaden","Los Mochales","1"
"1194","Bliesbrück","La Catria","3"
"1195","Bliesbrück","Alcolea del Río","4"
"1196","Bliesbrück","Azanaque-Castillejo","2"
"1197","Bliesbrück","Peñaflor","1"
"1198","Bliesbrück","Villar de Brenes","2"
"1199","Bliesbrück","Itálica","1"
"1200","Bliesbrück","Villar Tesoro","1"
"1201","Bliesbrück","Castillo de Azanaque","1"
"1202","Bliesbrück","Mejía","1"
"1203","Bliesbrück","Haza del Olivo","1"
"1204","Bliesbrück","Berro II","1"
"1205","Bliesbrück","La Ramblilla","2"
"1206","Bliesbrück","La Estacada","1"
"1207","Vertault","La Catria","7"
"1208","Vertault","Arva","1"
"1209","Vertault","Alcolea del Río","1"
"1210","Vertault","Cerro de los Pesebres","2"
"1211","Vertault","Sevilla","1"
"1212","Vertault","huerta del río","1"
"1213","Vertault","Malpica Sur","1"
"1214","Vertault","Dehesa de Arriba","1"
"1215","Vertault","Álamo Alto","1"
"1216","Vertault","La Graja","1"
"1217","Vertault","Casa de Mingaobez (Este)","1"
"1218","Vertault","Las Monjas","1"
"1219","Vertault","Madueño","1"
"1220","Vertault","Cruz Verde","1"
"1221","Arles","Arva","1"
"1222","Arles","Alcolea del Río","3"
"1223","Arles","Malpica","2"
"1224","Arles","Azanaque-Castillejo","1"
"1225","Arles","Villar de Brenes","1"
"1226","Arles","Sevilla","3"
"1227","Arles","huerta del río","3"
"1228","Arles","Villar Tesoro","1"
"1229","Arles","Malpica Sur","1"
"1230","Arles","Mejía","1"
"1231","Arles","Las Ánimas","1"
"1232","Arles","La Umbría de Moratalla","1"
"1233","Arles","La Graja","1"
"1234","Arles","Casa del Encinarejo Bajo","1"
"1235","Arles","Casa de Mingaobez","1"
"1236","Carlisle","La Catria","4"
"1237","Carlisle","Arva","1"
"1238","Carlisle","Alcolea del Río","6"
"1239","Carlisle","Las Delicias","1"
"1240","Carlisle","Cerro de los Pesebres","2"
"1241","Carlisle","Malpica","1"
"1242","Carlisle","Villar de Brenes","1"
"1243","Carlisle","Malpica Sur","2"
"1244","Carlisle","Mejía","1"
"1245","Carlisle","El Judío","1"
"1246","Carlisle","La Graja","2"
"1247","Mâcon","La Catria","4"
"1248","Mâcon","Arva","1"
"1249","Mâcon","Malpica","3"
"1250","Mâcon","Peñaflor","1"
"1251","Mâcon","Alcotrista","3"
"1252","Mâcon","Las Sesenta","1"
"1253","Mâcon","Isla del Castillo","3"
"1254","Mâcon","Las Ánimas","3"
"1255","Mâcon","El Judío","1"
"1256","Mâcon","Juan Barba","1"
"1257","Mâcon","La Rambla y El Acebuchal","1"
"1258","Palma del Río","Arva","1"
"1259","Palma del Río","Cerro de los Pesebres","4"
"1260","Palma del Río","Huerta de Belén","1"
"1261","Palma del Río","Cortijo del Romero","1"
"1262","Palma del Río","La Graja","3"
"1263","Palma del Río","Madueño","9"
"1264","Palma del Río","El Pinzón","2"
"1265","Palma del Río","El Portillo","2"
"1266","Ladenburg (Lopodunum)","Alcolea del Río","1"
"1267","Ladenburg (Lopodunum)","Las Delicias","2"
"1268","Ladenburg (Lopodunum)","Cerro de los Pesebres","1"
"1269","Ladenburg (Lopodunum)","Malpica","2"
"1270","Ladenburg (Lopodunum)","Peñaflor","1"
"1271","Ladenburg (Lopodunum)","Villar de Brenes","3"
"1272","Ladenburg (Lopodunum)","Sevilla","1"
"1273","Ladenburg (Lopodunum)","Las Sesenta","1"
"1274","Ladenburg (Lopodunum)","Villar Tesoro","1"
"1275","Ladenburg (Lopodunum)","Isla del Castillo","1"
"1276","Ladenburg (Lopodunum)","Mejía","1"
"1277","Ladenburg (Lopodunum)","Las Ánimas","1"
"1278","Ladenburg (Lopodunum)","La María","1"
"1279","Ladenburg (Lopodunum)","Cortijo del Romero","2"
"1280","Ladenburg (Lopodunum)","La Graja","1"
"1281","Ladenburg (Lopodunum)","Madueño","1"
"1282","Ladenburg (Lopodunum)","El Mohino","1"
"1283","Ladenburg (Lopodunum)","Cruz Verde","1"
"1284","Ladenburg (Lopodunum)","El Tesoro","1"
"1285","Posadas","Cerro de los Pesebres","2"
"1286","Posadas","Barranco del Picacho","7"
"1287","Posadas","Villacisneros","2"
"1288","Posadas","Dehesilla","6"
"1289","Posadas","La Estrella","6"
"1290","Posadas","Casa de Mingaobez","1"
"1291","Kempten","La Catria","4"
"1292","Kempten","Arva","2"
"1293","Kempten","El Tejarillo","1"
"1294","Kempten","Las Delicias","2"
"1295","Kempten","Cerro de los Pesebres","1"
"1296","Kempten","Malpica","1"
"1297","Kempten","Azanaque-Castillejo","1"
"1298","Kempten","Peñaflor","1"
"1299","Kempten","Sevilla","2"
"1300","Kempten","huerta del río","1"
"1301","Kempten","Alcotrista","1"
"1302","Kempten","Las Sesenta","1"
"1303","Kempten","Malpica Sur","1"
"1304","Kempten","Los Guerras","1"
"1305","Kempten","Haza del Olivo","1"
"1306","Kempten","La María","1"
"1307","Kempten","Berro II","1"
"1308","Kempten","La Ramblilla","1"
"1309","Kempten","El Mohino","1"
"1310","Santiponce","Arva","2"
"1311","Santiponce","Azanaque-Castillejo","1"
"1312","Santiponce","Villar de Brenes","2"
"1313","Santiponce","La Corregidora","1"
"1314","Santiponce","Itálica","8"
"1315","Santiponce","Guadajoz","1"
"1316","Santiponce","Villar Tesoro","1"
"1317","Santiponce","Malpica Sur","1"
"1318","Santiponce","Mejía","2"
"1319","Santiponce","El Judío","2"
"1320","Santiponce","Tarancón","1"
"1321","Santiponce","Las Valbuenas","1"
"1322","Santiponce","Álamo Alto","1"
"1323","Santiponce","Los Villares","1"
"1324","Alicante","La Catria","13"
"1325","Alicante","Cerro de los Pesebres","1"
"1326","Alicante","Barranco del Picacho","3"
"1327","Alicante","Dehesilla","3"
"1328","Alicante","La Estrella","3"
"1329","Alicante","Huerta de Belén","1"
"1330","Alicante","El Mohino","1"
"1331","Alicante","Casa del Guarda o Llano","1"
"1332","Rheinhessen","La Catria","5"
"1333","Rheinhessen","Arva","1"
"1334","Rheinhessen","Alcolea del Río","3"
"1335","Rheinhessen","Las Delicias","2"
"1336","Rheinhessen","Cerro de los Pesebres","1"
"1337","Rheinhessen","Peñaflor","1"
"1338","Rheinhessen","Villar de Brenes","2"
"1339","Rheinhessen","huerta del río","2"
"1340","Rheinhessen","Itálica","1"
"1341","Rheinhessen","Alcotrista","1"
"1342","Rheinhessen","Las Sesenta","1"
"1343","Rheinhessen","Tarancón","1"
"1344","Rheinhessen","Las Valbuenas","1"
"1345","Rheinhessen","Casa de Mingaobez","1"
"1346","Rheinhessen","Madueño","1"
"1347","Rheinhessen","El Pinzón","1"
"1348","Rheinhessen","El Portillo","1"
"1349","Bavay","La Catria","2"
"1350","Bavay","Arva","2"
"1351","Bavay","Alcolea del Río","6"
"1352","Bavay","El Tejarillo","2"
"1353","Bavay","Las Delicias","2"
"1354","Bavay","Cerro de los Pesebres","1"
"1355","Bavay","Malpica","3"
"1356","Bavay","Villar de Brenes","1"
"1357","Bavay","Sevilla","1"
"1358","Bavay","huerta del río","1"
"1359","Bavay","Itálica","1"
"1360","Bavay","Cortijo del Romero","2"
"1361","Bavay","La Graja","2"
"1362","Bavay","Tierras del Judío","1"
"1363","Grand","La Catria","3"
"1364","Grand","Arva","3"
"1365","Grand","Alcolea del Río","5"
"1366","Grand","El Tejarillo","3"
"1367","Grand","Las Delicias","2"
"1368","Grand","Tostoneras","3"
"1369","Grand","Malpica","2"
"1370","Grand","Villar de Brenes","1"
"1371","Grand","Villacisneros","1"
"1372","Grand","huerta del río","1"
"1373","Grand","Itálica","1"
"1374","Grand","Huerta de Belén","1"
"1375","Grand","Tierras del Judío","2"
"1376","Rouen","La Catria","4"
"1377","Rouen","Arva","3"
"1378","Rouen","Alcolea del Río","3"
"1379","Rouen","El Tejarillo","2"
"1380","Rouen","Las Delicias","2"
"1381","Rouen","Tostoneras","1"
"1382","Rouen","Malpica","1"
"1383","Rouen","Villar de Brenes","2"
