idreq,amphId,amphTypeName,fplmunName,fplcouName,lat,lon,transcription,plat,plon,pplace
0,14008,"Dressel 20","Mainz","Germany",49.9841880000000032,8.27909599999999912,"CANNIRVFINI",37.6236469999999983,-5.60466499999999979,"Arva"
1,146,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"FIGASVLEIANESES",37.7981279999999984,-4.9953479999999999,"El Rodriguillo"
2,275,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"FCAERARI",37.7968479999999971,-5.03023799999999977,"Villaseca"
3,6645,"Dressel 20","Lora del Río","Spain",37.6589609999999979,-5.52751000000000037,"QAEOPO",37.6487789999999976,-5.50614600000000021,"La Catria"
4,8839,"Dressel 20","Banasa","Morokko",34.6014399999999966,-6.11581799999999998,"MAEME",37.6236469999999983,-5.60466499999999979,"Arva"
5,18918,"Dressel 20","Mainz","Germany",49.9841880000000032,8.27909599999999912,"CANTONIQVIETI",37.6158119999999982,-5.66815499999999961,"Alcolea del Río"
6,20231,"Dressel 20","Avenches","Switzerland",46.8808879999999988,7.04104200000000002,"SCALES…",37.7529370000000029,-5.21186099999999985,"Cerro de los Pesebres"
7,9147,"Dressel 20","Amiens","France",49.8999999999999986,2.29999999999999982,"LFCCVFCAT...",37.6355720000000034,-5.15318699999999996,"Las Ánimas"
8,15713,"Dressel 20","Colchester","United Kingdom",51.8833330000000004,0.900000000000000022,"MCC",37.6875989999999987,-5.27423700000000029,"Madueño"
9,8340,"Dressel 20","Roanne","France",44.6909169999999989,5.26539700000000011,"PQFLFL",37.6487789999999976,-5.50614600000000021,"La Catria"
10,25904,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"FCAERARI",37.7968479999999971,-5.03023799999999977,"Villaseca"
11,3076,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"IICCLMM",37.6161799999999999,-5.64492800000000017,"El Tejarillo"
12,1919,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"DOMS",37.6158119999999982,-5.66815499999999961,"Alcolea del Río"
13,2284,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"LFFV",37.6674819999999997,-5.47243600000000008,"La Mallena"
14,3913,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"LQS",37.6158119999999982,-5.66815499999999961,"Alcolea del Río"
15,27985,"Dressel 20","Nida-Heddernheim","Germany",50.1595480000000009,8.64583499999999994,"LIVNIMELISSI",37.6236469999999983,-5.60466499999999979,"Arva"
16,6094,"Dressel 20","Narbonne","France",43.1844170000000034,3.00881599999999993,"MAEMRVS",37.6236469999999983,-5.60466499999999979,"Arva"
17,1301,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"AELFO",37.6487789999999976,-5.50614600000000021,"La Catria"
18,7556,"Dressel 20","Augst","Switzerland",47.5368179999999967,7.71720499999999987,"PNN",37.6126959999999997,-5.60742000000000029,"Tostoneras"
19,6968,"Dressel 20","Lora del Río","Spain",37.6589609999999979,-5.52751000000000037,"PORODV",37.6617869999999968,-5.48644200000000026,"Haza del Olivo"
20,7490,"Dressel 20","Augst","Switzerland",47.5368179999999967,7.71720499999999987,"EROTIS",37.6176310000000029,-5.5562630000000004,"Azanaque-Castillejo"
21,1405,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"ARAXIFM",37.6784200000000027,-5.21427999999999958,"Malpica Sur"
22,7657,"Dressel 20","Augst","Switzerland",47.5368179999999967,7.71720499999999987,"KVFIGCEPACOLLEOPAR",37.6875989999999987,-5.27423700000000029,"Madueño"
23,416,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"LFCCVFS",37.7529370000000029,-5.21186099999999985,"Cerro de los Pesebres"
24,13500,"Dressel 20","Alcolea del Río","Spain",37.6150579999999977,-5.6669419999999997,"PNN",37.6158119999999982,-5.66815499999999961,"Alcolea del Río"
25,26750,"Dressel 20","Hornachuelos","Spain",37.8333330000000032,-5.23333300000000001,"LFCCVFS",37.7629930000000016,-5.19923800000000025,"Villacisneros"
26,30812,"Dressel 20","Arles","France",43.6816590000000033,4.6363310000000002,"LFF",37.6355720000000034,-5.15318699999999996,"Las Ánimas"
27,1692,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"LCMY",37.6617869999999968,-5.48644200000000026,"Haza del Olivo"
28,14229,"Dressel 20","Rosbach von der Höhe","Germany",50.2999999999999972,8.71666699999999928,"PCICELI",37.6236469999999983,-5.60466499999999979,"Arva"
29,28186,"Dressel 20","Ostia Antica","Italy",41.75,12.2833330000000007,"FOLS",37.8078679999999991,-4.95505200000000023,"El Sotillo"
30,27545,"Dressel 20","Nida-Heddernheim","Germany",50.1595480000000009,8.64583499999999994,"QCCLE((PALMA))",37.6609600000000029,-5.41380499999999998,"Las Sesenta"
31,16661,"Dressel 20","Caerleon","United Kingdom",51.6133329999999972,-2.9588890000000001,"LQS",37.6158119999999982,-5.66815499999999961,"Alcolea del Río"
32,28183,"Dressel 20","Ostia Antica","Italy",41.75,12.2833330000000007,"PORODV",37.6617869999999968,-5.48644200000000026,"Haza del Olivo"
33,20684,"Dressel 20","Olten","Switzerland",47.3570580000000021,7.90910099999999971,"QANTR",37.6487789999999976,-5.50614600000000021,"La Catria"
34,24785,"Dressel 20","Vienne","France",45.5247850000000014,4.87345299999999959,"EQFA",37.7823330000000013,-5.16700699999999991,"Casa del Guarda o Llano"
35,18338,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"IIIENNIIVL",37.660347999999999,-5.50794799999999984,"huerta del río"
36,8281,"Dressel 20","Vienne","France",45.5247850000000014,4.87345299999999959,"CAP",37.8078679999999991,-4.95505200000000023,"El Sotillo"
37,16466,"Dressel 20","Abernethy","United Kingdom",56.3333330000000032,-3.3333330000000001,"PNN",37.6161799999999999,-5.64492800000000017,"El Tejarillo"
38,9057,"Dressel 20","Poitiers","France",46.5833330000000032,0.33333299999999999,"MAEMRVS",37.6236469999999983,-5.60466499999999979,"Arva"
39,2779,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"QIMFN",37.671559000000002,-5.20847000000000016,"Malpica"
40,3931,"Dressel 20","Roma","Italy",41.8999999999999986,12.483333,"CRA",37.6487789999999976,-5.50614600000000021,"La Catria"
41,28340,"Dressel 20","Ostia Antica","Italy",41.75,12.2833330000000007,"IICCLLM",37.6161799999999999,-5.64492800000000017,"El Tejarillo"
42,34129,"Dressel 20","Voorburg","Netherlands",52.0690489999999997,4.38825800000000044,"IICAMILIMELISSI",37.5859510000000014,-5.08842899999999965,"Las Delicias"
